Date,Day_Type,Title,Region,Genre,Duration_Mins,Study_Mins,Fatigue_Level,Device,Context,Binge_Session
2026/4/2,Errands,My Girl,Korea,Romance,100,60,2,Tablet,Scrolling,FALSE
2026/4/3,Rest,Deadloch,Australia,Crime / Thriller,220,0,1,Laptop,Focused,TRUE
2026/4/4,Rest,Deadloch,Australia,Crime / Thriller,200,0,1,Laptop,Focused,TRUE
2026/4/5,Rest,Taxi Driver,Korea,Crime / Thriller,240,0,1,Laptop,Focused,TRUE
2026/4/6,Rest,Taxi Driver,Korea,Crime / Thriller,200,60,1,Laptop,Focused,TRUE
2026/4/7,Study,When I See You Again,Taiwan,Romance,80,200,3,Tablet,Eating,FALSE
2026/4/8,Travel,N/A,N/A,N/A,0,0,5,N/A,N/A,N/A
2026/4/9,Travel,N/A,N/A,N/A,0,0,5,N/A,N/A,N/A
2026/4/10,Study,When I See You Again,Taiwan,Romance,180,200,5,Phone,Before_Asleep,TRUE
2026/4/11,Rest,When I See You Again,Taiwan,Romance,300,0,1,Tablet,Focused,TRUE
2026/4/12,Rest,When I See You Again,Taiwan,Romance,300,100,1,Tablet,Focused,TRUE
2026/4/13,Study,Smiling Pasta,Taiwan,Romance,200,300,5,Phone,Before_Asleep,TRUE
2026/4/14,Study,Smiling Pasta,Taiwan,Romance,90,200,3,Tablet,Eating,FALSE
2026/4/15,Study,Perfect Crown,Korea,Romance,60,200,3,Tablet,Eating,FALSE
2026/4/16,Study,Smiling Pasta,Taiwan,Romance,180,460,5,Phone,Before_Asleep,TRUE
2026/4/17,Study,Perfect Crown,Korea,Romance,60,240,3,Tablet,Eating,FALSE
2026/4/18,Rest,Before We Get Married,Taiwan,Romance,240,0,1,Tablet,Focused,TRUE
2026/4/19,Rest,Before We Get Married,Taiwan,Romance,300,60,1,Tablet,Focused,TRUE
2026/4/20,Study,Love Myself or You,Taiwan,Romance,200,360,5,Phone,Before_Asleep,TRUE
2026/4/21,Study,Perfect Crown,Korea,Romance,70,240,3,Tablet,Eating,FALSE
2026/4/22,Study,Perfect Crown,Korea,Romance,60,240,3,Tablet,Eating,FALSE
2026/4/23,Study,Love Myself or You,Taiwan,Romance,180,400,5,Phone,Before_Asleep,TRUE
2026/4/24,Study,Love Myself or You,Taiwan,Romance,100,200,3,Tablet,Eating,FALSE
2026/4/25,Rest,Love Myself or You,Taiwan,Romance,320,0,1,Tablet,Focused,TRUE
2026/4/26,Errands,Love Myself or You,Taiwan,Romance,120,100,2,Tablet,Scrolling,FALSE
2026/4/27,Study,Yumi's Cells,Korea,Romance,200,360,5,Phone,Before_Asleep,TRUE
2026/4/28,Study,Yumi's Cells,Korea,Romance,80,240,3,Tablet,Eating,FALSE
2026/4/29,Study,Yumi's Cells,Korea,Romance,60,200,3,Tablet,Eating,FALSE
2026/4/30,Study,Yumi's Cells,Korea,Romance,200,420,5,Phone,Before_Asleep,TRUE
2026/5/1,Study,My Goddess,Taiwan,Romance,120,150,3,Tablet,Eating,FALSE
2026/5/2,Rest,Girigo,Korea,Crime / Thriller,150,0,1,Laptop,Focused,TRUE
2026/5/3,Rest,Girigo,Korea,Crime / Thriller,180,60,1,Laptop,Focused,TRUE
2026/5/4,Study,My Goddess,Taiwan,Romance,60,200,3,Tablet,Eating,FALSE
2026/5/5,Study,My Goddess,Taiwan,Romance,40,300,4,Tablet,Eating,FALSE
2026/5/6,Study,My Goddess,Taiwan,Romance,90,240,3,Tablet,Eating,FALSE
2026/5/7,Study,My Goddess,Taiwan,Romance,200,420,5,Phone,Before_Asleep,TRUE
2026/5/8,Study,Amour et Patisserie,Taiwan,Romance,100,180,3,Tablet,Eating,FALSE
2026/5/9,Travel,N/A,N/A,N/A,0,60,5,N/A,N/A,N/A
2026/5/10,Errands,Filing for Love,Korea,Romance,60,120,2,Tablet,Scrolling,FALSE
2026/5/11,Study,Amour et Patisserie,Taiwan,Romance,60,200,3,Tablet,Eating,FALSE
2026/5/12,Study,Amour et Patisserie,Taiwan,Romance,60,300,4,Tablet,Eating,FALSE
2026/5/13,Travel,N/A,N/A,N/A,0,60,5,N/A,N/A,N/A
2026/5/14,Study,Miss Rose,Taiwan,Romance,200,500,5,Phone,Before_Asleep,TRUE
2026/5/15,Rest,Miss Rose,Taiwan,Romance,230,0,1,Tablet,Focused,TRUE
